"incident_id","incident.year","incident.month","data_total","victim.name","reference","summary","data_variety","pattern","industry","victim.country","visible","canLoad"
"002599D4-A872-433B-9980-BD9F257B283F",2011,12,943434,"Sutter Medical Foundation","http://blog.trendmicro.com/sutter-health-sued-for-1-billion-following-data-breach/","A group of patients filed a class-action lawsuit against Sutter Health this week, after it was revealed a laptop containing information on more than 4 million patients was stolen from the headquarters of the Sutter Medical Foundation (SMF) in Natomas, California.","Medical","TheftLoss","Other Services","US","TRUE","NULL"
"00EF0132-EE8B-4DD2-8DBF-624D2633F598",2011,10,1600000,"UK National Health Service","http://www.independent.co.uk/life-style/health-and-families/health-news/nhs-trust-sends-data-cd-to-landfill-2355834.html","Partner throws away customer data.","Personal","Error","Finance","GB","TRUE","NULL"
"02037087-0829-49A3-BAD2-99A2C5E9A3E5",2006,8,20000000,"America OnLine (AOL)","http://techcrunch.com/2006/08/06/aol-proudly-releases-massive-amounts-of-user-search-data/","AOL voluntarily releases data including 20 million web queries from 650,000 AOL users.  Data included all searches from those users within a three month period, as well as whether they clicked on a result, and what that result was/where it appeared on the result page.","Personal","Error","Information","US","TRUE","NULL"
"02973E91-8604-4813-9506-089E0E053F2F",2013,12,4600000,"Snapchat","http://www.journalgazette.net/article/20140103/BIZ/301039976/1031/BIZ","Attackers misuse the functionality built into snapchat to enumerate personal information of 4.6 million users.","Personal","Webapp","Information","US","TRUE","NULL"
"0311CF15-E5D1-43C8-9364-3A1DA1BB5292",2011,12,17911623,"Care2","http://news.softpedia.com/news/Environmentalist-Website-Care2-Hacked-18-Million-Passwords-Reset-244005.shtml","The website of Care2, an organization thats all about living a healthy, green lifestyle, has been breached in the last days of December by an unknown hacker team that managed to access the login information belonging to a number of the sites members.  The official statement released by the company claims that only a limited number of Care2 member accounts were accessed by the cybercriminals, but as a precaution measure, all their 17,911,623 account holders are forced to change their passwords on their next log-in.  We sincerely apologize for this inconvenience. Given our large membership size, we have become a significant target for spammers and hackers over the past few years, and this was the first hacking attempt that successfully breached our protective walls, Care2 representatives wrote on the sites blog.  The vulnerabilities which the hackers used to penetrate the sites defenses were immediately patched up to prevent further access, but the incident is still being investigated to determine the full extent of the breach.  The FBI has been contacted to investigate the matter, but so far, the only clues to point to the identity of the attackers are some IP addresses from Russia. This, however, doesnt necessarily prove that the attack was launched from there. It could be that the hackers compromised devices from this certain location.  Since no financial information is stored in the sites databases, the hackers may have targeted Care2 in order to obtain passwords which they can later use to gain access to other accounts, including ones that contain more sensitive data.  This is exactly why customers are advised not only to change their passwords on the breached site, but also on others that share the same credentials. This procedure has to be done in the shortest time since after they get their hands on the loot, the crooks will try to make the best of it before their victims get to do anything about it.  Customers who experience issues in recovering their passwords are advised to contact Care2 customer support for help.","Unknown","Other","Other Services","US","TRUE","SAMEORIGIN"
"03243494-91F0-41CE-8EFC-BF9E8FD1C4C7",2007,9,1000000,"Temple Street Children's Hospital","http://www.tjmcintyre.com/2010/01/childrens-hospital-lost-data-on-1m.html","Two computer servers containing the records of almost 1m patients were stolen from the Childrens University hospital in Temple Street in 2007 and have never been recovered.  The data were far more than that lost on stolen bank laptops in recent years. The theft was investigated by the data protection commissioner (DPC) and the gardai after being reported by the Dublin hospital in February 2007. The organisations had decided that there was no need to inform the public, believing there was little chance of the thief being able to access the data.  Patients details, including names, date of birth and reason for admission are thought to have been included.","Medical","TheftLoss","Healthcare","IE","TRUE","NULL"
"032C679A-8A51-4826-B131-CB961BE4573F",2011,12,3300000,"Trion Worlds","http://www.databreaches.net/trion-world-hacked/","Trion Worlds has become the latest in a long string of MMO studio security breaches this year, as the company reported an intrusion into its customer database. At risk of compromise were customers' user names, passwords, birthdates, email and billing addresses, and partial credit card info. However, the company states that ""there is no evidence"" that full credit card numbers were stolen at this time.  In a message posted on the Trion Worlds website, the company promises that it is both researching the intrusion and taking steps to increase security. As part of this, all RIFT players will be asked to change passwords and security questions, and their mobile authenticators will need to be reconnected.  The company urges customers to watch their bank statements for questionable activity, and provides customers with resources to get a free credit report and putting a freeze on credit reports.  To compensate customers for the issue, Trion is providing all RIFT players with three extra days of gaming time and a Moneybags' Purse that increases all money looted by 10% in-game.","Personal","Other","Information","US","TRUE","NULL"
"037B7432-60E7-4B1D-8904-0A1D513DB382",2012,1,2000000,"Last.fm","http://www.csmonitor.com/Innovation/Horizons/2012/0607/In-wake-of-LinkedIn-hack-Last.fm-confirms-data-breach","The music website, Last.fm, was hacked and user passwords were leaked.  ","Classified","Other","Information","GB","TRUE","NULL"
"03A13012-9A09-4160-B446-3771EA3E76FB",2013,5,400000,"Groupon Taiwan","http://thenextweb.com/asia/2013/05/28/groupon-taiwan-resets-user-passwords-after-hack-but-credit-card-details-not-leaked/","Someone hacked into Groupon Taiwan and stole user names and encrypted passwords.","Credentials","Other","Professional","TW","TRUE","NULL"
"05A40554-4D38-4C88-8F7F-BEF62E0375C6",2010,6,130495,"Lincoln Medical and Mental Health Center",NA,NA,"Medical","TheftLoss","Healthcare","US","TRUE","NA"
