"NAICS","Industry","Count"
"11",2,"Agriculture, Forestry, Fishing and Hunting"
"21",13,"Mining, Quarrying, and Oil and Gas Extraction"
"22",23,"Utilities"
"23",10,"Construction"
"31",17,"Manufacturing"
"42",39,"Wholesale Trade"
"44",98,"Retail Trade"
"48",34,"Transportation and Warehousing"
"51",370,"Information"
"52",392,"Finance and Insurance"
"53",24,"Real Estate and Rental and Leasing"
"54",159,"Professional, Scientific, and Technical Services"
"55",12,"Management of Companies and Enterprises"
"56",95,"Administrative and Support and Waste Management and Remediation Services"
"61",247,"Educational Services"
"62",857,"Health Care and Social Assistance"
"71",26,"Arts, Entertainment, and Recreation"
"72",67,"Accommodation and Food Services"
"81",118,"Other Services (except Public Administration)"
"99",1,"Industries not classified"
